Date,Open,High,Low,Close,Adj Close,Volume
2020-01-14,55.299999,56.349998,55.000000,55.639999,53.407433,27817000
2020-01-15,55.299999,56.080002,55.110001,55.459999,53.234657,21425300
2020-01-16,55.599998,55.950001,55.099998,55.169998,52.956291,13149100
2020-01-17,56.250000,57.090000,56.099998,57.000000,54.712864,36524100
2020-01-20,57.000000,57.360001,56.529999,57.360001,55.058418,16746300
2020-01-21,56.799999,57.009998,55.740002,56.029999,53.781784,25436800
2020-01-22,56.599998,56.849998,56.060001,56.299999,54.040951,17269400
2020-01-23,55.430000,55.730000,54.709999,55.500000,53.273052,23028900
2020-01-24,55.619999,55.730000,53.689999,53.799999,51.641266,19744800
2020-01-27,51.660000,51.820000,50.480000,50.509998,48.483276,38779700
2020-01-28,51.200001,52.090000,51.080002,51.200001,49.145592,23046400
2020-01-29,51.700001,51.889999,50.459999,50.750000,48.713646,23323000
2020-01-30,49.970001,51.500000,49.799999,51.500000,49.433552,23083200
2020-01-31,50.959999,51.060001,49.799999,50.270000,48.252907,29988200
2020-02-03,50.500000,51.090000,49.799999,50.910000,48.867226,18858200
2020-02-04,52.200001,52.580002,51.970001,52.270000,50.172657,21559200
2020-02-05,53.320000,53.619999,52.990002,52.990002,50.863770,26797700
2020-02-06,53.660000,53.919998,52.820000,53.279999,51.142128,22155800
2020-02-07,52.880001,52.959999,51.919998,52.099998,50.009476,14450900
2020-02-10,51.900002,51.900002,49.919998,50.189999,48.176117,28244800
2020-02-11,51.150002,52.200001,51.020000,52.049999,49.961483,27560600
2020-02-12,53.099998,53.380001,52.830002,53.070000,50.940556,28539800
2020-02-13,52.220001,52.400002,51.560001,52.139999,50.047871,20105600
2020-02-14,52.209999,52.279999,50.950001,51.000000,48.953617,19896200
2020-02-17,51.709999,53.410000,51.619999,53.410000,51.266914,28134200
2020-02-18,52.549999,53.049999,52.119999,52.799999,50.681389,18054400
2020-02-19,52.930000,53.119999,52.400002,52.810001,50.690990,14439700
2020-02-20,53.270000,53.490002,52.060001,52.200001,50.105465,18818800
2020-02-21,51.000000,51.139999,49.799999,50.130001,48.118526,32249900
2020-02-26,null,null,null,null,null,null
2020-02-27,44.650002,45.540001,43.560001,44.470001,42.685635,42419000
2020-02-28,43.990002,44.310001,43.200001,44.310001,42.532055,33228600
2020-03-02,44.880001,47.090000,44.810001,46.360001,44.499798,48372500
2020-03-03,46.740002,49.090000,46.070000,46.349998,44.490196,52401800
2020-03-04,48.000000,49.090000,47.000000,48.570000,46.621120,31476600
2020-03-05,47.660000,47.950001,45.950001,46.849998,44.970135,29092300
2020-03-06,44.200001,45.820000,43.650002,44.610001,42.820015,39718600
2020-03-09,40.450001,41.540001,37.810001,37.830002,36.312065,59037000
2020-03-10,41.900002,45.340000,40.799999,44.810001,43.011990,63269800
2020-03-11,43.009998,44.290001,39.000000,40.740002,39.105301,50025000
2020-03-12,36.000000,36.000000,32.450001,35.349998,33.931572,62222000
2020-03-13,42.000000,44.029999,37.000000,42.900002,41.178631,67635900
2020-03-16,36.009998,41.400002,36.009998,39.040001,37.473515,59078300
2020-03-17,40.500000,43.570000,39.110001,41.509998,39.844402,52743800
2020-03-18,38.799999,40.869999,35.700001,38.650002,37.099163,59689100
2020-03-19,37.500000,39.000000,35.259998,36.400002,34.939445,52645400
2020-03-20,37.900002,39.410000,34.709999,35.189999,33.777992,50479900
2020-03-23,35.549999,35.860001,33.369999,34.099998,32.731731,41958300
2020-03-24,36.860001,38.650002,36.860001,37.639999,36.129688,37044800
2020-03-25,38.189999,41.349998,38.090000,40.849998,39.210884,38064400
2020-03-26,41.009998,42.410000,39.990002,42.000000,40.314743,36253000
2020-03-27,39.299999,41.439999,39.200001,40.099998,38.490978,32331200
2020-03-30,40.919998,42.320000,40.740002,41.770000,40.093971,31298300
2020-03-31,42.299999,44.490002,42.220001,43.220001,41.485790,39238000
2020-04-01,41.810001,44.119999,41.200001,43.369999,41.629768,37092100
2020-04-02,43.950001,44.570000,41.919998,42.779999,41.063442,34372600
2020-04-03,42.799999,42.869999,39.759998,40.500000,38.874931,31650000
2020-04-06,42.599998,43.389999,41.970001,43.130001,41.399403,32019300
2020-04-07,45.189999,45.500000,43.560001,43.779999,42.023319,34191900
2020-04-08,43.500000,44.250000,43.049999,43.509998,41.764153,29464500
2020-04-09,43.950001,44.470001,42.840000,43.279999,41.543381,29827800
2020-04-13,43.200001,44.570000,42.980000,44.570000,42.781620,22066800
2020-04-14,45.619999,46.000000,44.500000,44.529999,42.743225,24713600
2020-04-15,43.500000,43.900002,42.610001,43.189999,41.456993,28808700
2020-04-16,43.799999,43.990002,42.040001,42.759998,41.044247,24442900
2020-04-17,43.900002,44.230000,43.220001,44.000000,42.234493,23604600
2020-04-20,43.259998,43.259998,42.230000,42.459999,40.756283,29050700
2020-04-22,42.599998,43.240002,42.049999,42.900002,41.178631,22693600
2020-04-23,43.290001,44.689999,42.810001,43.509998,41.764153,27171100
2020-04-24,43.369999,44.200001,41.830002,43.759998,42.004120,55165900
2020-04-27,44.459999,45.049999,43.860001,44.549999,42.762421,25580600
2020-04-28,45.200001,45.290001,43.480000,44.610001,42.820015,25680000
2020-04-29,45.349998,47.380001,44.840000,46.730000,44.854950,33207500
2020-04-30,45.709999,46.169998,44.759998,44.860001,43.059986,25720300
2020-05-04,43.700001,44.330002,43.400002,43.930000,42.167301,16994300
2020-05-05,44.450001,45.029999,43.700001,43.700001,41.946529,19070600
2020-05-06,44.189999,44.759998,43.610001,44.330002,42.551250,26602700
2020-05-07,45.630001,46.980000,45.450001,46.049999,44.202232,42194300
2020-05-08,47.500000,48.959999,46.970001,48.849998,46.889881,33922800
2020-05-11,48.209999,49.250000,47.730000,47.730000,45.814823,24783100
2020-05-12,48.430000,48.599998,47.459999,47.459999,45.555656,21806900
2020-05-13,48.169998,49.180000,47.660000,48.540001,46.592323,34159500
2020-05-14,47.950001,48.459999,46.939999,48.090000,46.160381,35513400
2020-05-15,48.689999,49.299999,48.049999,48.049999,46.121983,35196100
2020-05-18,50.340000,51.599998,49.950001,51.259998,49.203182,41936200
2020-05-19,51.299999,52.709999,51.090000,52.299999,50.201450,27704400
2020-05-20,53.369999,53.669998,52.500000,52.500000,50.393429,27014500
2020-05-21,52.290001,52.660000,50.369999,51.130001,49.078400,41802300
2020-05-22,50.770000,51.099998,49.900002,50.270000,48.252907,23933600
2020-05-25,51.410000,51.680000,49.919998,50.099998,48.089725,21162000
2020-05-26,50.380001,50.520000,48.840000,49.200001,47.225842,28917800
