,Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
215,MMXM3,17.75,-1.01,-0.14,449.852,0.0,0.8909999999999999,-0.13,-19.7,-0.12,-65.38,-65.38,-22.831999999999997,-448.13300000000004,0.02,-0.07629999999999999,0.1373,3572940.0,-833755000.0,-0.32,-0.0984
216,SGPS3,6.38,-0.98,0.28,0.231,0.0,0.102,1.45,6.08,-0.4,20.39,8.02,0.0381,-0.23670000000000002,1.22,0.018799999999999997,-0.2867,1066460.0,1138030000.0,0.83,-0.19390000000000002
217,CEDO4,5.49,-0.94,0.43,0.094,0.0,0.08199999999999999,-1.08,2.87,-0.21,13.61,6.98,0.0326,-0.10769999999999999,0.84,0.0347,-0.4611,193777.0,126789000.0,1.78,0.0622
218,ESTR4,26.42,-0.91,-0.04,0.201,0.0,0.087,-0.05,-2.31,-0.04,-8.44,-11.53,-0.0873,-0.221,0.21,-0.042199999999999994,0.0482,38387.7,-486120000.0,-0.12,-0.0765
219,OIBR3,2.11,-0.86,2.1,0.664,0.0,0.17300000000000001,2.08,-7.74,-0.26,-20.85,6.44,-0.0858,-0.7724,1.5,-0.026000000000000002,-2.439,402240000.0,5982220000.0,4.5,-0.0797
220,DHBI3,19.0,-0.83,-0.17,0.8690000000000001,0.0,0.34299999999999997,-0.16,-3.68,-0.13,-24.58,-59.55,-0.23579999999999998,-1.5481,0.12,-0.105,0.21030000000000001,0.0,-456340000.0,-0.99,-0.23620000000000002
221,LETO5,2.06,-0.83,-0.14,0.0,0.0,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705,0.0,-58642000.0,0.0,-0.17379999999999998
222,IENG3,0.15,-0.81,0.99,1.7169999999999999,0.0,0.11,-1.17,3.88,-0.3,25.11,25.11,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0.0,52234000.0,5.45,0.08130000000000001
223,CTNM4,5.48,-0.77,0.2,0.09300000000000001,0.0,0.04,1.33,-4.13,-0.14,-35.95,29.16,-0.0226,-0.2087,1.09,-0.010700000000000001,-0.2615,120583.0,835297000.0,1.81,-0.1449
224,DMMO3,0.99,-0.74,-0.35,0.823,0.0,0.866,-1.12,-2.48,-0.3,-2.0,-3.91,-0.3321,-1.112,0.41,-1.1313,0.47509999999999997,20417300.0,-867569000.0,-0.01,0.1148
225,LLIS3,4.56,-0.71,0.51,0.489,0.0,0.126,0.97,-0.81,-0.25,-4.87,-10.21,-0.6006,-2.8444,2.16,-0.16570000000000001,-0.7098,407949.0,620881000.0,2.61,-0.12689999999999999
226,VIVR3,1.17,-0.69,-0.62,-11.388,0.0,0.317,-0.52,-2.45,-0.3,-6.51,-6.91,4.6398,16.4059,0.43,-0.14150000000000001,0.8979,728542.0,-182109000.0,-1.15,0.0
227,ESTR3,20.0,-0.69,-0.03,0.152,0.0,0.066,-0.03,-1.74,-0.03,-7.88,-10.76,-0.0873,-0.221,0.21,-0.042199999999999994,0.0482,0.0,-486120000.0,-0.12,-0.0765
228,LATM11,28.65,-0.68,0.02,0.006,0.0,0.003,-0.02,0.05,-0.0,7.74,7.74,0.11460000000000001,-0.0039000000000000003,0.49,0.0655,-0.023700000000000002,0.0,11357000000.0,2.92,0.16690000000000002
229,CELM3,15.0,-0.67,-0.16,0.257,0.0,0.132,-0.21,-1.02,-0.1,-4.26,-4.26,-0.2514,-0.3836,0.44,-0.156,0.2341,0.0,-11104000.0,-0.66,0.057999999999999996
230,IENG5,0.12,-0.65,0.79,1.374,0.0,0.08800000000000001,-0.93,3.1,-0.24,24.33,24.33,0.4429,-2.2461,0.85,0.028399999999999998,-1.2241,0.0,52234000.0,5.45,0.08130000000000001
231,INEP3,30.5,-0.59,-0.12,34.372,0.0,0.18100000000000002,-0.12,-0.86,-0.08,-3.37,-3.5,-40.192800000000005,-56.74,0.1,-0.2314,0.1963,1402170.0,-2170940000.0,-0.34,-0.5155
232,SUZA4,13.9,-0.57,5.77,0.081,0.0,0.023,0.39,0.39,-0.03,11.45,5.63,0.21100000000000002,-0.5245000000000001,1.5,0.0664,-10.1574,0.0,416878000.0,188.28,0.34369999999999995
233,INEP4,28.95,-0.56,-0.11,32.625,0.0,0.171,-0.12,-0.81,-0.07,-3.32,-3.45,-40.192800000000005,-56.74,0.1,-0.2314,0.1963,1833600.0,-2170940000.0,-0.34,-0.5155
234,MWET4,7.08,-0.56,-0.06,0.10099999999999999,0.0,0.08,-0.11,-2.08,-0.04,-12.62,-34.25,-0.048600000000000004,-0.18230000000000002,0.27,-0.047599999999999996,0.1167,147057.0,-224643000.0,-0.34,0.07519999999999999
